feature,importance_mean,importance_std
date_unregistration,0.37699033594109527,0.006091726174735559
assessment_submission_rate,0.14971621414327355,0.003612509115107214
avg_score_Exam,0.07180549163982208,0.0022170620286140583
avg_assessment_score,0.024850437183617125,0.001404238992648673
avg_score_TMA,0.016566958122411435,0.0019500228356583158
num_assessments_submitted,0.009311244055836809,0.0017557846273893775
clicks_externalquiz,0.005921153551158176,0.0009969674372923298
clicks_resource,0.00466329191593805,0.0016178919310857777
clicks_subpage,0.0042337781868384775,0.002051404715864899
num_unique_activities,0.0033133916244823093,0.0012690362251846182
clicks_forumng,0.002837858567264928,0.0014605045798611338
clicks_per_activity,0.002561742598558092,0.001365240067495014
clicks_quiz,0.0024236846142046574,0.001350945780414409
total_clicks,0.002285626629851223,0.001480030052956869
clicks_oucontent,0.0022549470777727064,0.0009256128143301398
total_assessments,0.0018254333486731333,0.0007835307739912339
clicks_homepage,0.0016873753643197099,0.0015309065746126344
clicks_ouwiki,0.0014572787237306594,0.00056674192980248
avg_score_CMA,0.0014572787237306483,0.0008818703697993513
clicks_folder,0.001365240067495066,0.0003102277713783863
clicks_url,0.0013499002914557634,0.0010354064752683763
clicks_page,0.0013192207393772249,0.0008006128762509647
clicks_dataplus,0.0008743672342383824,0.00039438441884287093
highest_education_HE Qualification,0.0006902899217671399,0.00036462231397470495
region_Scotland,0.000598251265531502,0.0001447151577244404
gender_M,0.0005522319374137163,0.0004239998454083689
highest_education_Lower Than A Level,0.0005062126092959085,0.0009989716309351082
imd_band_50-60%,0.00046019328117808956,0.00038806904864776144
imd_band_10-20,0.0004141739530602706,0.0003760592321561843
region_West Midlands Region,0.00039883417702102353,0.0005453716470204524
region_East Midlands Region,0.0003681546249424628,0.00023961496167836715
region_North Western Region,0.0003374750728639353,0.0003988341770210218
imd_band_60-70%,0.0003221352968246549,0.0002108870545308641
region_Ireland,0.00030679552078538563,0.0001372031279337144
region_London Region,0.00030679552078538563,0.0003360776545514015
region_South Region,0.00019941708851050065,0.00020637557979863832
clicks_dualpane,0.00019941708851050065,0.00035679408957240663
region_Wales,0.0001840773124712314,0.00032756797827982614
clicks_htmlactivity,0.00015339776039269282,0.00019403452432386974
num_of_prev_attempts,0.00012271820831415424,0.00022544774438868764
clicks_glossary,0.00012271820831415424,0.0004273167135199762
kmeans_cluster,9.20386562356157e-05,0.0004456462355064713
region_South East Region,3.067955207853856e-05,0.00028118273937448546
imd_band_70-80%,3.067955207853856e-05,0.00023565411099457997
imd_band_90-100%,1.533977603926928e-05,0.0002782383363585889
clicks_ouelluminate,1.533977603926928e-05,0.000372285967157882
clicks_repeatactivity,0.0,0.0
clicks_sharedsubpage,0.0,0.0
region_North Region,-1.533977603926928e-05,0.0001447151577244404
imd_band_80-90%,-1.533977603926928e-05,0.0002217645696395221
highest_education_Post Graduate Qualification,-1.533977603926928e-05,4.601932811780784e-05
highest_education_No Formal quals,-3.067955207853856e-05,0.00017889099232535951
did_unregister,-3.067955207853856e-05,0.0001502984962591251
dbscan_cluster,-7.669888019634641e-05,0.00010290234595028579
studied_credits,-9.20386562356157e-05,0.0004070102519227221
imd_band_20-30%,-0.00010737843227488497,0.0001946399377273979
age_band_55<=,-0.00013805798435342353,0.00018724582935623974
age_band_35-55,-0.0003681546249424628,0.0004456462355064714
disability_Y,-0.0003681546249424628,0.0003304288883039922
region_South West Region,-0.0004755330572173477,0.0002946674752615104
imd_band_40-50%,-0.000490872833256617,0.000547954321199298
clicks_oucollaborate,-0.0005522319374136941,0.0006693488028615018
imd_band_30-40%,-0.0006596103696885792,0.00027483468119601594
clicks_questionnaire,-0.0007823285780027333,0.00023213293373862585
region_Yorkshire Region,-0.0008283479061205412,0.00027611596870684706
